Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
Brazil,South,2023,Well,4.97,7.33,3.52,6.28,20.57,7.98,1385,Filtration,33.89,245,0,48,83.11,85925,94.51,29.54,73.64,2813,23.22,705
USA,West,2000,Spring,1.44,8.39,1.77,8.66,34.17,3.74,2584,Boiling,65.97,157,29,74,24.79,69015,94.28,25.93,28.78,2223,6.06,874
USA,East,2016,Pond,9.2,8.26,4.46,9.46,11.44,3.69,1601,Boiling,36.39,356,27,93,45.28,67382,31.64,88.11,63.27,1886,8.52,806
Ethiopia,North,2023,Tap,4.41,7.98,2.51,4.66,49.9,10.45,4942,None,97.02,35,16,91,45.1,78028,61.91,79.54,87.27,1038,9.23,259
Brazil,East,2004,Lake,9.95,7.02,3.23,6.78,21.55,13.46,4804,Filtration,47.12,235,22,35,39.92,68672,11.08,20.65,95.8,2553,29.3,328
Mexico,East,2024,Well,4.2,7.41,1.05,4.11,46.58,1.51,3317,Chlorination,95.28,247,37,80,6.4,31427,8.42,38.3,54.26,1131,20.73,734
India,North,2001,Tap,6.08,7.98,2.09,6.48,21.54,11.57,807,None,88.38,459,23,84,54.38,64335,50.18,14.21,62.67,2509,1.92,506
China,East,2024,Spring,1.05,6.68,4.31,3.63,46.41,4.92,2659,Chlorination,68.6,99,21,36,9.14,25120,4.97,60.61,86.52,649,33.52,298
USA,South,2023,Tap,4.54,7.57,1.06,9.59,16.78,13.47,114,None,53.54,226,4,99,80.59,846,87.49,36.5,94.86,1076,25.8,310
Nigeria,North,2008,River,2.39,8.07,1.95,7.47,38.03,16.2,2727,Filtration,90.06,118,24,88,69.75,46269,92.81,30.61,51.19,2279,29.33,15
USA,East,2003,River,8.36,7.77,1.59,8.98,47.55,16.14,4726,Boiling,40.69,353,6,87,36.57,20677,6.73,51.85,48.24,268,37.5,558
Indonesia,Central,2016,Well,7.84,7.2,0.76,9.99,32.3,7.4,2266,Boiling,42.6,195,21,93,65.42,16699,4.73,73.64,56.07,282,10.41,702
USA,East,2016,Spring,8.24,7.46,1.45,4.28,33.88,11.35,4292,Filtration,45.73,87,43,41,24.84,13434,22.14,42.31,40.3,969,23.58,267
USA,South,2020,Spring,7.24,8.47,1.16,7.86,5.14,15.87,4496,Boiling,71.84,35,36,61,27.99,64521,93,70.6,88.77,1010,30.41,627
India,West,2017,Tap,8.33,7.5,4.62,9.21,23.71,1.22,3901,Filtration,52,313,33,98,32.79,29529,76.9,45.69,45.46,670,20.51,231
India,East,2015,Well,2.01,7.96,3.71,7.03,44.34,12.11,2728,Filtration,99.24,27,35,84,80.11,71036,67.65,27.16,55.96,2187,19.44,322
Bangladesh,West,2007,Spring,4.52,7.82,1.58,7.48,12.05,16.73,4171,Filtration,43.66,38,48,5,22.65,41519,77.63,45.7,45.6,1227,37.15,357
Mexico,Central,2010,Pond,6.92,7.75,3.82,5.85,39.42,7.45,1449,None,86.39,321,39,84,57.15,19229,19.95,53.04,29.51,2834,9.74,873
Nigeria,East,2020,Pond,6.37,7.79,0.11,7.72,33.79,9.11,4382,Boiling,36.71,426,19,7,21.65,81819,25.66,46.93,68.53,1328,26.12,638
USA,North,2020,River,7.16,7.14,2.63,5.77,11.15,13.97,1568,None,54.74,4,36,68,29.93,69802,31.76,31.95,67.01,2395,38.81,700
USA,West,2017,Tap,2.24,7.19,1.25,6.34,14.14,1.36,1322,Chlorination,47.06,475,16,39,25.08,99251,60.51,24.81,43.59,321,8.8,100
China,Central,2022,Lake,0.98,7.17,0.57,3.72,21.38,7.71,860,Filtration,98.38,140,3,9,65.21,31832,60.82,85.76,22.51,1731,18.5,944
India,North,2023,River,9.17,6.08,4.42,3.05,6.26,5.91,741,Boiling,31.8,227,49,30,53.62,35683,20.86,33.8,94.94,2090,39.02,671
Nigeria,North,2009,Well,5.6,6.6,1,3.39,45.67,0.34,1730,Chlorination,80.52,8,17,29,72.69,46109,43.67,66.43,48.44,2754,1.43,856
Ethiopia,North,2012,Spring,1.54,6.39,4.11,4.35,36.97,3.92,4904,Filtration,47.34,358,27,50,23.55,38416,69,37.26,63.1,2133,25.19,180
Bangladesh,North,2016,River,7.93,8.22,2.07,6.2,18.25,7.92,2933,Chlorination,86.79,477,49,84,2.9,3535,30.96,87.57,31.5,888,16.18,303
Mexico,East,2017,Lake,9.15,6.69,0.07,3.15,14.98,3.95,3518,None,51.79,56,15,35,68.69,68360,7.55,89.06,40.09,1610,30.84,201
Brazil,East,2009,Lake,1.7,6.35,3.66,4.09,34.48,12.05,4509,None,43.11,282,42,60,13.26,89172,19.74,76.01,54.82,2198,12.93,558
Mexico,East,2015,Pond,8.17,6.3,2.98,8.47,21.21,8.97,4526,Boiling,78.51,444,7,26,26.14,97458,16.47,56.52,64.98,732,14.92,109
Indonesia,Central,2019,Well,9.33,7.75,1.72,8.34,11.47,0.79,3167,Chlorination,48.03,460,43,34,31.96,30574,63.19,53.37,88.32,516,20.63,815
USA,Central,2004,River,9.38,6.02,1.41,8.53,21.51,5.5,1918,Chlorination,63.99,489,17,59,75.19,87346,6.85,36.32,43.23,1993,13.84,848
Bangladesh,Central,2012,Tap,9.14,7.18,0.37,9.45,43.56,0.39,2218,None,39.21,358,49,31,63.34,61901,88.47,19.76,89.74,348,10.38,40
Indonesia,South,2017,River,5.46,6.3,4.71,3.83,3.43,7.16,1340,None,80.72,177,28,89,20.06,25113,8.44,16.32,56.68,704,14.21,821
Nigeria,Central,2016,Pond,3.56,8.12,2.47,4.14,18.42,5.18,4639,Boiling,58.48,475,39,3,60.59,59074,59.79,47.24,54.61,2082,36.32,615
Brazil,East,2008,Lake,0.07,8.4,0.43,5.33,48.12,13.76,1514,Filtration,39.84,81,15,90,71.4,6325,92.95,88.3,51.71,2742,13.71,791
India,East,2013,Well,0.61,8.4,4.34,9.41,0.74,6.15,1411,Boiling,81.91,417,29,99,40.11,41087,6.24,29.75,90.89,1114,35.98,513
Bangladesh,South,2016,Well,4.29,7.1,1.39,8.43,44.53,7.5,3036,None,37.24,84,48,26,26.1,41748,38.31,42.88,40.08,632,8.2,107
Bangladesh,South,2003,Tap,3.99,7.61,1.02,5.27,18.74,14.51,4167,Boiling,70.24,64,33,46,68.54,89538,32.79,61.31,88.59,791,26.89,61
USA,Central,2017,Well,1.85,7.5,1.4,3.61,9.48,9.62,1022,Filtration,72.52,428,29,5,61.87,88032,34.42,38.09,27.13,2511,29.8,484
Pakistan,West,2019,Pond,3.95,6.88,2.82,7.31,0.75,11.13,4627,None,95.12,342,20,81,9.64,41204,60.03,10.29,96.43,2944,4.45,352
Bangladesh,South,2023,Pond,1.75,7.11,0.37,4.8,3.53,16.83,2286,Filtration,40.57,289,21,25,67.33,63188,26.21,41.7,60.24,800,21.76,972
China,North,2023,Pond,8.49,6.16,2.41,6.72,8.59,4.14,2758,Boiling,75.73,355,46,23,49.87,14863,2.73,74.37,99.91,2223,0.52,910
Brazil,East,2014,Well,2.98,7.99,4.48,9.59,1.27,19.78,4672,Filtration,56.65,456,24,70,75.83,13489,96.23,85.52,68.63,2652,37.13,819
Brazil,North,2010,Well,5.99,6.6,0.94,7.01,16.79,18,3771,None,58.06,135,21,43,20.69,48360,74.88,32.01,29.41,1347,20.97,359
China,East,2011,Pond,5.03,7.15,1.66,9.47,2.24,5.73,1112,None,65.13,249,27,13,27.31,60225,13.51,83.73,24.87,463,1.47,528
Ethiopia,East,2008,Well,0.52,7.2,1.98,5.75,34.61,17.86,1945,Filtration,46.36,497,38,12,55.24,38760,45.52,79.37,35.47,858,27.33,767
China,South,2012,Well,9.42,7.4,2.93,7.43,40.95,15.08,4808,Boiling,62.28,93,32,25,49.21,14638,6.27,42.54,53.69,1314,35.43,27
China,South,2014,Lake,5.27,8.04,4.6,9.26,44.37,18.62,1558,Boiling,78.08,47,1,42,39.86,39972,2.79,10.37,79.78,2475,29.5,706
Brazil,North,2014,River,3.25,7.73,1.97,7.12,27.46,13.82,3879,Boiling,62,419,3,42,75.11,89888,4.75,77.59,20.06,1195,5.35,239
Mexico,East,2004,Spring,1.58,7.66,0.35,7.3,47.33,13.49,641,Boiling,32.98,99,15,65,57.35,99007,75.58,32.94,40.59,1377,21.6,723
Brazil,North,2022,Well,3.39,7.32,1.74,8.01,0.28,0.07,2237,Chlorination,48.05,337,11,86,71.61,97657,44.49,70.47,67.01,2619,29.32,565
Pakistan,West,2018,Spring,0.21,6.24,0.95,9.17,6.7,9.49,4907,Chlorination,54.6,193,16,27,17.02,22118,84.44,55.72,43.83,560,32.02,619
USA,North,2019,Spring,3.64,7.01,3.26,3.62,14.66,4.01,3486,Filtration,54.83,116,35,0,73.44,91655,30.52,27.73,48.56,2581,0.64,966
Indonesia,Central,2024,Lake,5.31,8.39,0.15,5.36,39.45,6.48,3225,Chlorination,35.67,266,15,95,47.23,46563,77.53,61.86,44.06,1704,11.35,490
Mexico,North,2013,Well,8.72,8.49,1.46,5.78,44.27,19.58,1014,Chlorination,61.47,307,38,11,5.31,18504,7.79,71.19,96.25,2462,35.39,584
India,Central,2016,Pond,6.87,7.83,2.73,9.37,30.91,1.71,2021,Chlorination,78.44,163,22,49,24.98,52095,63.51,47.96,25.27,1908,10.34,169
Indonesia,Central,2017,Spring,1.12,6.57,1.39,9.69,19.16,14.45,2676,Filtration,33.41,478,7,52,4.52,20720,36.06,69.83,92.6,1799,18.9,872
USA,Central,2020,Well,1.48,6.25,2.75,3.84,33.29,3.46,1540,Chlorination,82.56,286,8,59,46.77,53383,27.67,42.4,45.86,1765,27.87,421
Pakistan,West,2002,Tap,4.28,7.04,0.57,3.83,9.04,0.15,2936,Boiling,96.86,23,13,54,33.94,29524,81.51,88.42,39.72,377,39.42,397
Pakistan,North,2001,Pond,1.96,8.14,4.71,9.54,22.89,10.03,3106,Boiling,30.65,493,8,34,98.77,18021,5.19,29.18,90.66,1669,17.03,664
India,North,2000,Tap,0.28,7.8,1.45,5.07,25.38,3.22,783,Filtration,43.56,404,46,60,87.11,11253,94.95,72.23,42.97,1379,20.15,11
Mexico,West,2009,Tap,8.05,8.21,4.62,4.69,5.24,19.31,670,Filtration,68.04,95,25,25,82.92,74773,78.55,69.97,99,1254,22.35,901
Ethiopia,East,2018,Spring,0.2,7.54,1.63,3.25,1.69,4.07,2769,Filtration,45.26,496,35,30,51.11,45837,35.56,52.36,63.85,1835,9.37,160
China,South,2016,Tap,8.31,6.33,3.91,4.93,37.51,3.84,2573,None,83.52,253,2,56,81.09,91284,99.13,38.03,58.11,839,14.75,964
Mexico,North,2011,Lake,1.44,6.29,1.23,7.85,26.74,0.64,2584,Chlorination,51.85,413,9,11,28.15,31825,20.25,45.66,98.12,2614,17.38,544
Ethiopia,South,2000,Lake,9.75,6.12,3.35,5.98,16.61,6.6,4942,Filtration,50.55,120,24,92,56.94,25835,40.24,60.36,38.14,2475,0.77,748
Pakistan,West,2011,Spring,6.04,7.42,1.62,6.62,21.86,0.48,1277,Filtration,30.06,71,3,4,40.51,10036,88.49,52.43,92.72,315,0.3,356
Brazil,East,2016,Well,7.35,6.61,2.55,9.42,47.89,9.98,3043,Filtration,48.91,352,29,98,18.79,31585,99.68,70.92,67.32,658,8.97,803
USA,East,2023,River,1.1,7.84,3.37,3.8,19.25,10.11,3172,Boiling,45.24,370,49,6,9.12,33787,23.91,38.85,80.4,1524,20.49,762
India,East,2002,Well,8.62,7.72,2.94,3.5,5.17,1.06,3782,Filtration,54.03,63,10,15,56.71,8500,74.31,18.58,66.56,521,38.23,427
USA,West,2010,Well,8.39,6.8,2.88,8.96,23.18,4.8,177,Boiling,40.34,242,18,95,11.57,86625,30.57,50.45,69.49,1419,38.9,662
Nigeria,Central,2016,Well,6.53,6.44,0.33,8.42,32.4,16.64,275,Boiling,71.63,126,49,51,72.36,81277,76.65,30.72,32.39,1639,25.89,177
Nigeria,Central,2022,Well,5.02,6.26,1.25,4.85,0.61,9.25,2359,None,46.71,372,12,80,92.3,28691,12.53,59.33,32.13,2672,33.08,637
Mexico,South,2002,Pond,7.21,7.84,2.86,5.27,16.62,8.69,3481,Filtration,88.22,38,35,20,17.89,98342,33.62,51.63,51.77,382,36.03,956
Pakistan,Central,2007,River,0.06,7.13,0.09,5.17,19.68,13.98,4886,None,49.92,384,2,26,48.15,95660,7.5,72.3,47.71,716,33.57,19
Pakistan,Central,2019,Pond,5.92,6.81,1.25,7.53,23.19,14.3,3359,Filtration,44.76,352,47,78,74.4,13467,49.19,56.02,76.96,1542,21.75,688
China,East,2003,Tap,8.47,8.14,1.15,3.43,15.08,15.24,1424,Chlorination,33.97,425,13,22,30.11,45074,70.15,44.46,77.82,1483,28.17,611
China,East,2020,Well,3.57,7.48,1.25,6.43,33.35,16.61,4122,Filtration,81.79,76,9,71,92.23,13746,37.86,19.59,65.1,2618,0.15,909
China,South,2021,Lake,1.08,7.3,2.68,3.94,47.24,4.65,2960,Filtration,65.57,469,37,24,89.07,72503,61.47,19.61,52.16,2544,25.92,347
Brazil,North,2006,Spring,4.21,7.86,2.91,8.74,45.7,1.33,2469,Filtration,37.96,4,39,10,12.17,14847,56.91,61.23,74.14,500,17.03,876
Indonesia,South,2013,Spring,7.27,8.04,4.54,5.66,33.22,7.61,3085,Filtration,45.49,139,26,62,4.69,67858,29.46,80.46,74.99,2915,25.79,120
Bangladesh,South,2013,Pond,1.07,7.72,1.93,6.69,25.34,17.1,2372,Filtration,99.91,251,23,56,97.69,84444,48.68,43.18,84.73,1923,27.78,189
Indonesia,West,2003,Pond,2.06,7.1,4.63,3.21,41.29,1.56,4068,Filtration,86.42,156,15,84,95.73,15882,6.9,52.46,84.94,2503,3.92,986
USA,West,2015,Lake,1.48,6.95,3.26,3.41,41.8,11.52,1590,None,54.49,258,9,53,43.38,67220,45.99,57.3,25.57,1404,34.98,705
Indonesia,South,2023,Well,7.97,7.93,4.56,7.73,41.48,14.02,4380,Chlorination,67.98,316,26,9,6.96,80635,45.82,48.18,49.92,2927,7.03,420
Brazil,South,2021,River,0.63,7.29,4.17,8.37,7.89,9.63,1112,None,59.12,434,6,49,62.65,82799,2.87,14.77,53.59,2628,0.42,785
USA,South,2000,Tap,6.87,7.76,3.44,7.97,1.27,5.1,1068,Chlorination,32.55,419,27,72,30.75,98532,51.39,57.13,87.75,722,17.19,190
Indonesia,Central,2016,Spring,3.66,8.23,1.78,8.16,49.16,6.53,2545,None,84.51,366,25,0,93.8,80796,73.77,20.97,60.14,1203,3.59,376
Brazil,West,2024,Tap,7.56,8.29,1.21,3.73,47.98,1.43,3649,None,80.19,236,17,85,79.88,9307,45.23,54.46,59.1,889,38.24,534
Bangladesh,South,2009,River,9.64,6.69,1.11,7.85,28.22,5.85,1814,Filtration,58.62,74,12,69,65.66,33703,64.6,72.03,64.3,2370,11.35,183
Indonesia,East,2021,Pond,1.15,6.47,4.76,4.27,49.65,0.89,3907,None,89.21,473,7,29,29.88,38285,53.24,10.44,30.18,678,8.94,95
Brazil,East,2015,Spring,3.14,6.65,4.79,3.69,38.53,14.53,3731,Chlorination,67.43,385,26,54,70.72,52801,78.52,44.44,65.22,759,10.48,557
China,Central,2015,Tap,8.1,7.88,3.62,8.3,25.87,17.96,2192,Boiling,34.56,28,13,97,30.34,67583,51.45,69.66,64.12,667,11.33,692
Pakistan,Central,2007,Pond,2.66,6.93,4.42,9.23,19.47,12.67,81,Chlorination,48.16,40,40,76,5.69,54542,33.16,52.28,80.35,2429,2.5,615
China,North,2006,River,2.15,6.43,4.59,8.02,29.64,13.13,3706,None,62.32,28,43,85,51.83,26210,82.76,28.82,70.73,2637,21.6,940
Pakistan,North,2005,Tap,8.25,6.25,2.56,8.64,25.79,9.44,3176,Boiling,37.24,491,5,5,49.89,64978,6.76,65.81,96.4,1529,0.72,956
India,North,2015,Well,9.87,6.82,3.15,9.94,49.69,3.12,1825,Filtration,69.98,99,19,23,76.77,41911,28.95,72.68,26.41,2503,29.87,72
India,Central,2019,Pond,5.57,6.34,2.09,3.94,24.52,0.15,81,Boiling,38.44,319,27,84,86.84,16273,59.15,39,81.73,1561,30.71,886
India,Central,2015,River,2.78,6.39,2.09,9.76,41.8,6.88,93,Filtration,44.04,57,22,86,36.74,70391,85.6,33.79,80.12,412,15.99,589
Bangladesh,Central,2006,Tap,3.99,7.71,0.19,7.21,40.68,15.03,342,Chlorination,92.58,210,11,4,46.05,81193,7.21,53.61,41.55,1098,38.83,662
China,East,2008,Well,1.7,6.05,2.17,8.69,3.57,19.21,2408,Boiling,99.99,137,23,6,48.1,16210,9.61,39.23,75.88,1520,31.27,440
Pakistan,Central,2013,Well,7.62,6.29,3.37,7.55,4.35,8.62,1854,Boiling,68.52,10,43,2,33.77,56503,28.24,76.87,72.75,2467,4.92,655
Brazil,East,2010,River,7.73,8.11,2.11,6.99,32.99,7.31,3999,Boiling,73.38,390,21,12,74.85,32071,34.46,72.32,43.9,2787,39.19,667
USA,North,2013,Lake,8.75,8.11,4.36,7.93,12.96,8.92,1089,Filtration,85.82,332,25,53,53.17,95915,84.35,34.95,77.9,622,33.8,383
Brazil,North,2006,Spring,0.27,6.82,1.66,5.24,32.88,8.56,623,Filtration,78.73,488,21,62,91.57,88738,95.89,46.56,94.45,2975,28.16,273
USA,North,2000,River,5.62,6.22,0.66,9.47,7.23,12.52,867,Chlorination,42.77,363,6,75,65.73,1211,1.72,81.16,44.42,2446,26.14,178
Nigeria,South,2024,Well,2.14,7.76,4.06,3.81,19.85,14.68,2476,Chlorination,58.82,188,14,5,22.77,45149,1.54,21.79,98.41,1414,24.19,326
Brazil,South,2012,Well,3.41,6.9,3.37,5.23,5.12,15.7,3472,None,67.46,449,47,97,18.15,22389,86.48,70.34,37.94,328,39.61,413
Indonesia,West,2019,River,7.85,6.11,1.21,3.22,14.1,12.99,170,Filtration,55.18,93,29,78,38.49,31804,13.56,35.34,30.77,360,19.14,222
Indonesia,West,2002,Lake,1.92,6.39,2.68,4.9,4.41,8.75,1782,Chlorination,42.33,341,3,46,36,7939,33.93,19.56,26.16,1256,6.63,577
Mexico,West,2019,Spring,6.38,6.34,2.01,4.53,48.53,19,577,Boiling,81.53,180,5,81,41.9,94409,27.52,19.36,37.09,210,11.78,643
China,South,2003,Tap,6.55,7.47,4.69,3.35,19.75,14.22,67,Boiling,43.92,320,47,54,19.99,93311,28.19,32.1,47.4,2754,15.01,873
USA,South,2010,River,9.54,8.25,3.04,6.44,45.06,8.53,1515,Boiling,48.23,282,46,48,97.87,41626,32.86,53.85,78.65,1667,12.66,907
USA,West,2001,Spring,7.75,7.98,0.79,6.28,48.56,8.93,0,Chlorination,50.06,390,1,56,16.28,39554,33.6,82.63,25.76,1977,1.21,755
China,West,2013,Spring,8.04,7.37,2.51,3.54,45.48,16.36,2198,Boiling,41.32,320,30,2,65.96,5088,62.02,34.24,60.58,1981,2.95,971
Bangladesh,Central,2011,Pond,5.32,7.06,4.31,4.83,22.75,8.81,901,Boiling,89.47,57,23,21,3.28,84539,62.88,25.94,61.5,2437,0.2,370
Mexico,West,2016,Well,1.87,7.55,3.36,9.67,38.94,10.33,4845,Filtration,72.74,24,34,34,41.88,8011,52.29,48.29,38.24,2038,27.16,681
Bangladesh,Central,2011,Tap,4.26,7.11,4.21,3.78,7.68,5.83,794,Filtration,88.43,303,46,27,32.3,60390,85.85,22.53,23.64,1624,26.58,132
Bangladesh,East,2011,River,5.49,6.62,1.25,5.14,4.74,16.78,2066,Chlorination,64.56,259,30,41,39.44,23174,84.57,31.74,38.01,1041,2.73,31
Bangladesh,South,2000,Well,6.78,7.7,4.44,3.25,43.85,10.45,1819,Filtration,66.37,477,24,11,50.81,57320,21.72,88.93,38.43,1807,12.61,227
China,West,2012,Pond,6.08,8.18,3.78,4.04,1.56,11.05,370,None,73.13,391,7,0,60.84,99912,54.36,54.64,75.04,2492,11.32,562
Bangladesh,South,2013,Pond,3.94,6.93,3.64,7.9,48.62,17.61,2538,Chlorination,55.96,496,11,99,59.18,51492,78.38,72.71,38.7,2640,18.14,886
Indonesia,South,2023,Well,2.65,8.1,1.73,5.57,33.61,18.41,3907,None,64.76,212,1,93,63.81,77166,86.69,26.94,47.22,1306,14.35,403
India,South,2001,Lake,1.68,7.08,4.44,6.16,20.98,16.48,2054,None,68.28,114,14,22,84.77,19738,25.52,51.61,23.79,1337,32.82,944
Nigeria,East,2011,Spring,6.94,7,3.19,4.1,7.07,1.31,2596,Chlorination,96.75,451,39,27,88.9,64833,49.41,50.84,69.92,1292,35.31,566
USA,North,2020,River,6.45,6.07,4.26,7.77,36.16,8.87,4466,Filtration,91.8,187,31,68,74.25,85634,52.5,75.01,57.93,1012,8.24,270
USA,West,2015,River,6.87,7.74,1.8,8.26,28.16,6.87,1688,Filtration,39.05,259,10,35,9.74,58734,69.96,11.73,47.6,306,4.84,533
Nigeria,North,2003,River,3.73,8.02,0.73,4.27,35.56,4.27,4852,Chlorination,32.89,135,16,53,96.21,42794,33.03,78.84,76.23,559,33.57,754
China,North,2007,Well,2.62,7.66,1.66,3.31,20.9,18.18,3321,None,77.62,489,20,46,94.85,85860,29.35,16.37,74.57,2397,20.06,242
Brazil,North,2001,Lake,7.6,6.38,2.28,3.57,3.31,17.8,1138,Chlorination,33.44,89,21,55,71.75,71862,70.56,83.33,46.23,1129,12.97,297
China,South,2009,Tap,7.74,6.26,2.67,7.6,15.75,9.31,2621,Chlorination,34.22,220,32,9,52.71,34987,39.93,21.43,76.75,2061,2.06,507
USA,Central,2008,Pond,4.56,7.43,2.55,3.95,15.75,2.69,2728,Boiling,41.15,15,28,4,26.56,68896,0.4,52.58,47.86,298,24.24,385
USA,South,2022,Well,6.12,7,2.73,6.46,0.43,0.27,1165,Boiling,54.62,146,14,13,76.12,42430,93.78,17.95,37.76,2903,8.31,945
Nigeria,South,2014,Tap,3.74,7.07,4.21,4.07,0.48,8.77,1508,None,60.45,384,20,23,88.03,44972,14.96,45.78,77.59,2168,1.51,795
Bangladesh,North,2012,Pond,7.02,8.42,0.85,4.19,16.54,0.8,3841,Filtration,66.36,100,1,62,67.19,66102,14.86,33.94,78.24,1011,17.79,723
China,South,2022,Pond,8.36,7.81,1.58,3.03,36.38,12.19,4558,Boiling,99.46,417,41,27,63.65,24785,81.84,43.61,89.26,2710,23.89,841
Pakistan,North,2016,Lake,6.88,7.03,4.44,5.25,31.2,12.17,4576,Boiling,56.97,476,37,20,20.91,20729,33.55,53.6,60.08,2037,6.86,96
Nigeria,Central,2015,Spring,5.13,6.05,2.8,3.63,11.95,17.98,4918,None,46.99,218,2,75,37.06,25913,32.82,46.76,38.59,2120,26.06,906
Indonesia,West,2001,River,4.59,6.09,2.92,5.76,30.14,3.8,523,Chlorination,70.27,367,24,19,72.87,17810,62.24,11.85,86.95,2075,7.56,894
USA,North,2019,Tap,6.42,7.71,2.39,7.18,32.37,7.43,2258,Boiling,45.06,44,12,61,3.66,69641,5.9,79.08,33.97,798,0.83,702
Nigeria,Central,2019,Well,6.8,8.09,2.74,5.57,26.13,17.19,4339,Filtration,95.84,62,23,95,64.84,77613,23.7,17.6,95.09,2549,5.96,179
China,West,2013,Tap,5.59,7.77,0.99,7.94,26.07,9.49,238,None,48.15,349,30,50,77.13,25017,5.33,88.45,44.53,1440,23.48,238
USA,East,2002,Spring,6.25,7.01,2.73,8.19,18.49,1.19,1220,Boiling,99.3,389,14,39,34.8,79275,29.15,78.11,21.5,2998,25.41,603
Brazil,North,2022,River,0.97,6.08,4.99,7.88,6.17,2.22,768,None,59.31,291,5,84,9.46,99937,86.99,54.91,34.94,1807,34.59,871
Nigeria,North,2011,Tap,9.52,8.42,2.83,9.56,19.27,16.27,234,Boiling,86.89,376,40,80,82.27,21886,90.93,29.62,53.18,2428,2.5,220
Mexico,East,2007,Spring,7.91,8.47,0.22,4.66,17.27,14.87,2760,Boiling,75.38,358,9,64,15.9,27465,30.94,16.9,24.42,1640,38.12,502
USA,East,2001,Well,3.74,7.37,3.98,4.33,29.6,17.52,4592,None,95.34,65,8,27,38.34,17711,18.76,63.75,52.76,884,20.88,687
China,North,2003,Lake,5.63,6.18,1.98,7.27,42.81,2.38,1519,Filtration,73.78,118,49,53,71.31,63142,13.53,26.12,36.23,2439,9.82,922
India,East,2013,Pond,0.47,7.35,0.77,7.16,18.77,15.21,1903,Filtration,70.69,233,40,1,82.06,76954,39.44,68.66,21.52,2341,14.62,967
Pakistan,South,2015,Well,0.41,8.23,4.31,6.57,35.49,13.1,2234,Chlorination,75.7,461,49,80,86.51,60025,82.64,76.6,43.92,1098,2.23,549
Ethiopia,West,2018,River,2.51,7.7,0.99,3.03,40.59,4.65,935,Boiling,85.05,7,40,13,53.98,56670,85.27,89.12,38.1,1887,4.4,31
Bangladesh,West,2001,Pond,6.9,7.8,4.6,6.89,10.59,19.48,1268,Chlorination,92.92,194,4,13,48.64,71127,4.59,50.34,53.58,1171,35.3,311
Ethiopia,West,2011,Well,8.52,6.21,2.21,9.53,45.08,11.41,818,None,48.68,226,44,43,85.14,58441,20.92,87.97,80.72,2918,4.24,815
China,South,2013,Well,5.59,6.27,3.71,5.34,3.52,18.14,3567,Chlorination,44.06,26,43,81,57.18,98812,20.32,21.95,60.78,1550,2.23,41
Indonesia,East,2005,Well,5.32,6.32,2.73,9.77,45.09,17.18,4117,None,32.4,289,40,39,58.71,65952,82.84,76.9,81.45,2031,23.93,320
Indonesia,Central,2012,Well,4.02,8.26,1.28,5.5,8.18,6.66,2115,Filtration,55.91,27,18,33,44.53,50965,45.63,38.78,46.93,1688,15.31,354
India,East,2003,Pond,1.62,7.31,3.36,3.98,16.86,10.72,2439,None,89.23,158,19,64,38.54,13763,36.84,39.18,21.05,2681,16.24,889
Bangladesh,North,2021,River,1.18,7.98,4.79,5.79,30.26,8.63,3387,None,34.89,144,32,17,49.09,67014,95.66,31.49,93.77,529,4.81,146
Mexico,West,2017,Spring,7.61,6.29,3.85,6.46,45.28,14.18,1088,Chlorination,67.7,466,42,33,37.76,63611,92.54,23.87,45.18,2774,1.77,493
India,East,2011,Tap,9.28,8.32,3.02,7.41,12.79,11.76,1827,Boiling,78.64,233,36,86,35.67,20607,44.01,45.38,62.15,1342,34.63,955
Ethiopia,Central,2019,Lake,4.58,8.05,4.95,6.53,38.18,15.7,4824,Chlorination,88.58,107,30,48,99.38,84510,12.83,88.98,57.54,220,15.58,521
India,North,2021,Tap,6.59,6.56,1.33,6.76,35.52,0.24,2588,Filtration,70.84,378,38,79,34.95,11868,17.1,36.39,66.65,2268,4.4,814
Ethiopia,South,2020,Tap,9.14,8.19,0.31,3.17,7.99,13.76,2615,Filtration,43.04,438,12,82,27.13,92459,11.21,46.89,90.8,515,8.01,586
USA,South,2018,Lake,0.9,6.66,0.16,4.78,23.97,6.38,1873,Filtration,97.52,202,37,54,36.68,85522,68.05,28.28,89.38,817,4.12,870
Indonesia,Central,2007,Pond,7.7,6.51,3.55,5.17,24.08,4.48,4307,Boiling,36.63,264,44,61,59.9,20637,55.47,36.97,98.48,944,19.12,600
USA,North,2006,River,6.17,6.66,4.15,9.91,15.23,16.02,1773,Chlorination,83.83,477,5,69,91.28,7430,55.66,14.41,62.27,1288,32.14,437
Pakistan,West,2015,Lake,5.99,8.27,3.18,5.07,39,1.78,199,None,36.06,312,46,23,79.21,35056,9.84,86.48,93.8,348,15.74,325
